country,total_cases,total_deaths,total_recovered,active_cases,serious_cases,cases_per_million,deaths_per_million,total_tests,tests_per_million,population,obesity,median_age,median_age_male,median_age_female,gdp_per_capita,avg_temp_c,area_km,pop_p_km,asl_meters,mobility_composite,healthcare_pc
Martinique,5575,42.0,98.0,5435.0,10.0,14861.0,112.0,67378.0,179610.0,375134.0,,,,,,,1128.0,329.0,,,
France,5551,52.0,2964.0,2535.0,4.0,20134.0,189.0,28914.0,104871.0,275709.0,21.6,41.4,39.6,43.1,48640.0,10.7,181989.13333333333,350.6666666666667,375.0,-48.3191475372837,4379.72705078125
Iceland,5539,28.0,5323.0,188.0,3.0,16185.0,82.0,405047.0,1183542.0,342233.0,21.9,36.5,35.9,37.1,56974.0,1.75,102775.0,3.5,557.0,-36.6831851727029,6086.3115234375
Suriname,5339,117.0,5220.0,2.0,2.0,9065.0,199.0,22561.0,38305.0,588976.0,26.4,29.8,29.4,30.2,16044.0,25.7,163820.0,3.5,246.0,,339.327972412109
Equatorial Guinea,5183,85.0,5048.0,50.0,,3642.0,60.0,72105.0,50668.0,1423078.0,8.0,19.8,19.3,20.3,19961.0,24.55,28051.0,48.0,577.0,,301.150054931641
Aruba,5031,46.0,4879.0,106.0,4.0,47032.0,430.0,54861.0,512868.0,106969.0,,39.3,37.5,41.1,,,180.0,624.0,,,
Nicaragua,4936,63.0,1924.0,2949.0,2.0,1014.0,13.0,32711.0,6721.0,4866924.0,23.7,25.7,24.8,26.6,5297.0,24.9,121428.0,53.0,298.0,,192.083389282227
Somalia,4579,121.0,3529.0,929.0,,285.0,8.0,,,16087463.0,8.3,18.1,18.3,17.9,,27.05,637657.0,24.0,410.0,,
Thailand,4192,60.0,3915.0,217.0,1.0,60.0,0.9,977854.0,13994.0,69878499.0,10.0,37.7,36.6,38.7,21361.0,26.3,513120.0,130.0,287.0,,247.035110473633
Gambia,3779,123.0,3645.0,11.0,1.0,1545.0,50.0,26851.0,10976.0,2446404.0,10.3,21.0,20.7,21.3,,27.5,10690.0,208.0,34.0,,
Burkina Faso,3579,69.0,2792.0,718.0,,169.0,3.0,,,21154482.0,5.6,17.3,17.1,17.4,2181.0,28.25,270764.0,75.0,297.0,,44.403491973877
